,pearson_train,pearson_dev,pearson_test,ktau_train,ktau_dev,ktau_test
"{'lower': True, 'keep_numbers': True, 'keep_expression': False, 'remove_char': False, 'remove_stop': True, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.27592796770419636,0.27619343927804996,0.2655690206755494,0.19150635509712305,0.1989726365576984,0.18247033594100687
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.287720277094368,0.2863933203095477,0.2777756390183318,0.1992694939556053,0.20456278038223666,0.19369177345653996
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.28391708407361504,0.2802731804292716,0.26864664592962595,0.19756177186836424,0.2022932563190004,0.18524716439753383
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.2723216007200368,0.2777753528531367,0.2748008675435573,0.18682761137841306,0.1889267388810095,0.1895200286142663
"{'lower': True, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.27469989975107206,0.27301610441111485,0.2627341930345508,0.1913857095997314,0.19550399230383908,0.18079869193387446
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.2877303024541829,0.28669598253685835,0.27633715493241046,0.19916759284845098,0.20482148687998464,0.19286527729794326
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': True, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.27766952430963004,0.27708788977702603,0.26572755853343527,0.1926406044886497,0.19837044356802058,0.1823050309240725
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.2770311347488143,0.27823326036895635,0.2657856435124535,0.19252170973420846,0.20096193637956447,0.18277833980910638
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.27036987978909377,0.2726513008580675,0.2668823711649214,0.18479567519159396,0.18273773506172802,0.18168735782221151
"{'lower': True, 'keep_numbers': False, 'keep_expression': True, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.2726529286387343,0.2759825620045371,0.2702099741396711,0.18654583796747432,0.18591852518763993,0.18348312309867978
"{'lower': True, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.2741725822160146,0.2767354661054763,0.2731019534581391,0.18702462657750116,0.18575181764822213,0.18651349523487507
"{'lower': False, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.287662525538758,0.2864232831023506,0.27729434769020467,0.1990417359771191,0.2059988403343625,0.19381645076650694
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.27186723107776745,0.27662435810609015,0.2707402729143802,0.1857067335923839,0.18582622781897393,0.18525178852970323
"{'lower': True, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': True}",0.2823285529270604,0.2844257998762204,0.2790401014428503,0.19260225983231818,0.19297772631890375,0.19098461506922673
"{'lower': True, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.2827843026223901,0.2778305130799544,0.26612915197906983,0.19691158611824422,0.19943587359797768,0.18342995634874196
"{'lower': True, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': False}",0.2749792420307709,0.27937304001810886,0.27420226061900715,0.18796164413625624,0.18951170018804764,0.1873406007190359
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.28199349187947204,0.2759577154630722,0.26553461508343906,0.19605383303751328,0.19771890935776154,0.18312808597659422
"{'lower': False, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.28655267094712666,0.2853676078015421,0.2724899815042047,0.19745819895194458,0.2039458527257115,0.1877971265146128
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.2719171059429875,0.2743977248532655,0.2693555638581316,0.18533005871160002,0.1838117150303156,0.18430902533515303
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.28867161260905505,0.2874478313876828,0.27207339970862215,0.1997763524141596,0.20509504249827706,0.1869376887234181
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.28295188531742316,0.28203307997463134,0.26778201711868393,0.19632762788142635,0.20216178260745998,0.18395667936188823
